property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
House,LJ Hooker Darwin -   ,750000,139344487,Johnston,832,premiere,5,2,2
House,LJ Hooker Darwin -   ,480000,139344491,Rosebery,832,premiere,3,1,2
Duplex/Semi-detached,Elders Real Estate - Palmerston,529000,139340991,Coolalinga,839,premiere,3,2,2
House,Real Estate Central Projects - Darwin,650000,139339651,Zuccoli,832,premiere,4,2,4
Unit,Territory Real Estate - Darwin,599000,139339003,Darwin City,800,premiere,2,2,2
Townhouse,Real Estate Central - DARWIN CITY,659000,139337367,Stuart Park,820,premiere,3,2,2
Apartment,Knight Frank (NT) - Darwin,490000,139336003,Darwin City,800,premiere,1,1,1
House,Complete Real Estate (NT),500000,139335535,Howard Springs,835,premiere,3,1,2
House,Raine & Horne - Darwin,405000,139329847,Moulden,830,premiere,3,1,2
House,Elders Real Estate - Palmerston,545000,139328787,Gunn,832,premiere,3,2,2
Unit,Sale By Home Owner - Australia,420000,139328583,Humpty Doo,836,standard,3,2,2
House,Real Value Properties NT - Northern Territory,690000,139327067,Herbert,836,premiere,5,2,12
House,Elders Real Estate - Palmerston,510000,139323731,Bakewell,832,premiere,3,2,2
Townhouse,Raine & Horne - Darwin,750000,139323219,Fannie Bay,820,premiere,3,2,2
Unit,Nick Mousellis Real Estate - Eview Group Member,337500,139319539,Darwin City,800,premiere,1,1,0
House,Call2View Real Estate - Palmerston,439000,139318927,Darwin City,800,premiere,2,2,1
Apartment,Knight Frank (NT) - Darwin,299000,139317155,Fannie Bay,820,premiere,2,1,0
Duplex/Semi-detached,Elders Real Estate - Darwin,490000,139316963,Zuccoli,832,premiere,3,2,2
House,Real Estate Central - DARWIN CITY,649000,139316855,Wagaman,810,premiere,4,2,2
Apartment,All Real Estate NT,440000,139312507,Darwin City,800,midtier,2,2,2
Unit,First National Real Estate O'Donoghues - Darwin,320000,139312015,Millner,810,premiere,2,1,2
House,Real Estate Central Projects - Darwin,490000,139309519,Rosebery,832,premiere,3,2,2
Duplex/Semi-detached,Real Estate Central - DARWIN CITY,489000,139309071,Rosebery,832,premiere,3,2,2
House,Real Estate Central Projects - Darwin,665000,139308527,Zuccoli,832,premiere,4,2,2
Unit,Elders Real Estate - Palmerston,298000,139304907,Bakewell,832,premiere,2,1,2
